number,length,result,callernumber,callername,callercity,callerstate
8009285013,15,connected,6562844318,Sonia Shih  ,Gurli Put Vo,IN
8008342387,15,sale,6511658574,Jerrie Jamar  ,Istokpoga,CA
8007277863,5,lead,6509702901,Babara Bou  ,Picture Butte,PA
8001852156,5,lead,6306751626,Yajaira Younger  ,Fricks Crossing,DC
8003661331,0,hangup,6301748626,Bobbye Beckert  ,Sandy Beach,NY
8009196917,1,lead,6236760929,Linus Torvalds,Portland,OR
8007748108,5,connected,6231014942,Roselyn Ramos  ,Gander,IL
8006816377,1,sale,6122027179,Jacqualine Jurek  ,Poorman Side,MI
8008788539,15,sale,5902750857,Macie Mulder  ,Truth or Consequences,TN
8008097570,10,connected,5902054377,Winston Wallick  ,Pangman,IA
8008519961,0,hangup,5845764419,Celina Canipe  ,Virginville,OR
8002786469,10,lead,5777379617,Aretha Amor  ,Golden Prairie,SD
8003661331,1,lead,5719107760,Clarisa Corbett  ,Yellowjacket,ID
8007277863,5,sale,5715710121,Berry Belville  ,Paint Rock,NC
8002786469,15,lead,5696551139,Willian Whidbee  ,Belle Plaine,NY
8009256650,5,connected,5488803829,Eric Idle,Whiteface,TX
8004455001,0,hangup,5479820405,Fausto Forcier  ,Marsden,TX
8005414537,10,connected,5151251023,Prince Patricio  ,Katy Lick,NE
8004868772,5,connected,5073480204,Eldridge Elem  ,Wethocouchy,MO
8008567471,15,sale,4868459718,Candyce Clemans  ,Ossawinamakee Beach,KY
8009285013,0,hangup,4572897924,Shanta Sergi  ,Spasticville,NE
8009880918,15,sale,4567244538,Estell Eckenrode  ,Gillam,SC
8003668168,5,sale,4526457759,Selena Swims  ,Cudworth,IN
8004455001,0,hangup,4498967450,Bill Gates,Redmond,WA
8009880918,5,connected,4498240282,Hermina Haughton  ,Kidtown,GA
8004455001,10,connected,4394250769,Velia Vanegas  ,Kermit,UT
8006404614,15,connected,4329252410,Shirley Scheider  ,Ceylon,AK
8003661331,0,hangup,4278827199,Shawnda Sherron  ,Hogshooter,MN
8009540625,5,lead,4272665142,Jona Jewell  ,Nail,WY
8002780879,15,sale,4224578872,Johana Juneau  ,Octararo,ND
8001862915,5,sale,4208468723,Neely Neace  ,Ute,MT
8002455590,0,hangup,4179670868,Eric Eddings  ,Negro Crossing,ME
8002455590,15,lead,4115352260,Elease Ester  ,Looneyville,MS
8007929658,0,hangup,4095053250,Angelika Alejos  ,Monte Carlo,GA
8001961621,1,lead,4046024145,Ivana Irvin  ,Two Egg,WY
8005414537,5,sale,3985874352,Rosaria Rabinowitz  ,Blue Diamond,AZ
8001258480,1,sale,3985046922,Fletcher Finlayson  ,Coats,NY
8004605818,1,lead,3955414844,Wendolyn Westgate  ,Awakening,MI
8006810950,5,connected,3939459393,Rebbeca Radice  ,Big Foot Prairie,WY
8001449565,1,connected,3932264683,Etsuko Ellinger  ,Bark Hill,CT
8006810950,5,connected,3928051526,Etta Ertl  ,Beaver Run,CA
8008643993,1,connected,3868513549,Lashell Lasley  ,Buick,NM
8002071805,10,sale,3812655993,Danika Domingue  ,Inlikita,IA
8005823913,1,sale,3801679294,Deshawn Desch  ,Fancy Hill,ME
8001074445,0,hangup,3718120799,Guido Van Rossum,San Francisco,CA
8008621846,0,hangup,3695788681,Lashawna Leland  ,Boozer,DC
8008643993,0,hangup,3665013258,Curtis Cromer  ,Point Truth,NH
8005311707,10,sale,3627251898,Wendy Wortman  ,Agricola,NE
8009256650,0,hangup,3466113081,Grahm Chapman,Ponkapoag,CO
8001852156,10,connected,3458154732,Rosalyn Rohr  ,Defeated,SD
8005311707,15,connected,3429757486,Jimmie Jorgensen  ,Punta Rassa,UT
8008097570,15,sale,3425796997,Karine Kibler  ,Craggie Hope,NY
8004455001,0,hangup,3281247939,Dwana Demaris  ,Yellow Jacket,FL
8001258480,0,hangup,3101809684,Merlene Morquecho  ,Hat Creek,SD
8007590252,10,sale,3098998362,Meaghan Mcbeath  ,Buick,IN
8008519961,15,sale,3079736737,Kisha Kearse  ,Wee Town,ME
8001074445,0,hangup,3051621933,Terry Jones,Jot Em Down Store,NC
8009256650,5,sale,3023146300,Terry Gilliam,Jug Hole,VA
8009540625,5,sale,2866423326,Dayna Dones  I LIKE TO ANSWER PHONES AND TYPE THINGS,Athos,WI
8006810950,0,hangup,2747745393,Nancee Nunes  ,Ebenezer,MS
8004605818,0,hangup,2716511739,Clarice Chambers  ,Skookumchuck,WA
8009196917,10,connected,2633706906,Richard Stallman,FOO,BAR
8002786469,0,hangup,2553079189,Fatima Fullilove  ,Tea,KY
8002786469,15,lead,2398963572,Hue Hassett  ,Chestermere,OK
8001003659,10,sale,2099521886,Arnette Ambrosio  ,Fourteen Bend,NM
8008643993,10,lead,1940939096,Jannet Johansen  ,Cantaloupe,KS
8007748108,10,lead,1928849090,Vonnie Verge  ,Sandwich,AL
8002786469,5,lead,1774233015,Brook Buttars  ,Estiffanulga,TN
8001961621,10,connected,1766771748,Carma Claybrooks ,Egypt,ID
8004455001,10,connected,1751399700,Randee Ruble  ,Nankipooh,KS
8004564735,5,sale,1674902731,Eneida Eddy  ,Lawyers Bar,MO
8004564735,1,lead,1600271665,"Nicol'le Nordeen  -- DONÕT BELIVE THIS IS HER REAL NAME, POSSIBLE SCAM",Hatchie Coon,DE
8008788539,10,sale,1582797506,Allen Aybar  ,Dumblane,KS
8001449565,15,connected,1429483731,Gaylene Gadd  ,Half Hell,WY
8005823913,15,sale,1428332241,Geneva Goodloe  ,Mud Butte,MO
8007929658,15,lead,1423587323,Hiroko Hertlein  ,Ben Arnold,FL
8008335685,10,sale,1158002030,Tawnya Torian  ,Lafleche,NE
8009196917,1,connected,1140582427,Steve Jobs,San Cupretino,CA
